USAGE_DATE,OPERATION,DOCUMENT_ID,DOC_REGIONS,DOMESTIC_DOC_COUNT
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
10/1/2025,ResolveAddress,,,0
